act
cheer
chest
chip
church
clash
Clay
clerk
cling
cloth
clue
coach
coast
coin
Cook
CORE
count
Court
craft
crawl
crew
crop
Crown
cry
Curl
cute
damp
dare
Day
deal
debt
deep
desk
dim
disc
DNA
dog
doubt
drab
draw
drift
drop
drunk
duke
dump
earl
ease
egg
EST
fact
faint
Fall
farm
fate
fee
fence
fierce
file
find
Fish
flag
flat
flesh
float
flow
folk
fool
form
frail
fraud
French
front
fuck
fund
gang
gasp
gay
gene
gift
glad
go
gold
grab
grand
Grass
Green
grim
gross
grow
guess
guilt
hair
halt
hard
hat
head
heart
height
hide
hint
hit
hole
horse
hour
Hunt
ill
inch
jet
join
joy
jump
keep
Kid
King
knee
knock
lad
lamp
large
laugh
lay
league
learn
left
length
life
like
link
live
lock
Lord
Lot
Low
lung
mad
Male
MArch
match
mean
meet
merge
mild
Mill
Miss
moist
Moon
mouth
Mrs
myth
near
need
net
Night
noise
note
nurse
Old
own
pack
paint
palm
pass
path
peace
pen
phase
pick
pile
pipe
place
plane
play
plot
point
pond
pop
pose
pot
praise
Price
prince
prompt
prove
pure
quaint
quick
raid
raise
rape
rate
react
rear
reign
rich
right
ripe
road
rod
roof
rope
round
rub
run
sad
sake
sane
scale
scarce
school
scratch
sea
seat
seek
self
sense
sex
shame
shed
sheet
shift
shirt
shoe
shore
shout
shrill
shy
sigh
silk
sink
site
skin
slack
sleep
slight
slope
smart
smile
smug
Snow
soil
Son
sort
sour
soy
sparse
speed
sphere
Split
sport
spring
squeeze
staid
stale
star
State
steal
steep
stick
stir
stop
stout
strange
strength
strict
strip
stuff
Sue
Sun
sweep
swim
sword
tale
tame
tape
taut
Teach
Tell
term
thank
thick
think
throat
tide
time
tone
tool
toss
Town
track
trap
Tree
trim
troop
trust
tube
turn
type
UV
vast
view
void
wait
wall
war
warmth
waste
way
week
well
while
wide
will
wine
wire
Wood
work
wound
wrong
year
youth
